# Введённые в эксплуатацию дома УР, ввод 2024-01..2026-07 (ЕИСЖС objStatus=2, собрано 22.07.2026 через Chrome)
objId,ЖК,Адрес,Застройщик,Группа,Квартир,Жил.площадь,Этажей,Дата ввода,Цена ₽/м² (посл.)
51759,"ЖК ""Трилогия""","г. Ижевск, Улица Шишкина",СЗ ТАЛАН-РЕГИОН-39,Талан,130,8633.36,18,2025-06-26,134028
51003,ЖК Арден на Ключевом,"г. Ижевск, Улица Ключевой посёлок",СЗ КЛЮЧ,,346,14225.96,18,2025-07-15,123819
52848,"Жилой комплекс ""BershaCity"" Дом 2","г. Ижевск, ул Архитектора П.П.Берша",СЗ АСПЭК-ЧАЙКОВСКИЙ,АСПЭК-Домстрой,240,10227.7,17,2025-07-17,114558
46129,Михайловский,"г. Ижевск, Улица Бородина",КОМОССТРОЙ РАФАЭЛЬ СЗ,КОМОССТРОЙ,126,11875.8,11,2025-07-30,194435
55288,ЖК Квартал на Горького,"г. Ижевск, Улица Красная",СЗ ГРИБОЕДОВ,UDS,104,4967.05,10,2025-08-05,145439
55442,"Жилой комплекс ""ZNAK город будущего ""","с. Первомайский, ул Строителя Николая Шишкина",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,187,11494.63,9,2025-08-06,108729
49231,ЖК Пять континентов,"г. Ижевск, Улица Карла Маркса",СЗ КОНТИНЕНТ,UDS,178,9353.55,18,2025-09-23,150929
48938,Ежевика.Жилой дом 9,г. Ижевск,КС ЭТАЖИ СЗ,КОМОССТРОЙ,249,11063.2,18,2025-09-25,132068
48937,Ежевика.Жилой дом 8,г. Ижевск,КС ЭТАЖИ СЗ,КОМОССТРОЙ,180,8585.5,17,2025-09-25,116302
54319,"ЖК ""РИО"" ДОМ1 и ДОМ2","г. Ижевск, Улица Магистральная",СЗ КАЛИНКА ФЭМИЛИ,Калинка Групп,237,8314.74,18,2025-09-26,129898
47493,Скандинавия,"г. Ижевск, ул Васнецова",КС АБСОЛЮТ СЗ,КОМОССТРОЙ,335,16363.2,18,2025-09-29,125066
50668,РЕГАРД жилой квартал,"г. Ижевск, Улица Воткинское шоссе","СЗ ТВЕРСКАЯ, 51",,256,14836.14,18,2025-09-30,116094
44232,ЖК Финский квартал.Жилой дом 1,"г. Ижевск, Улица Союзная",СПЕНСЕР СЗ,КОМОССТРОЙ,370,19397,18,2025-09-30,115976
55771,Город оружейников.Жилой дом 24,с. Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,81,3827.1,11,2025-10-02,116683
55770,Город оружейников.Жилой дом 23,с. Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,89,4193.7,11,2025-10-02,139864
55769,Город оружейников.Жилой дом 22,с. Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,232,9681.6,11,2025-10-02,135991
55768,Город оружейников.Жилой дом 21,с. Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,81,3827.1,11,2025-10-02,124455
55767,Город оружейников.Жилой дом 20,с. Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,321,13214.5,11,2025-10-02,127704
51014,Покровский,"г. Ижевск, ул Серова",КС ВАГНЕР СЗ,КОМОССТРОЙ,166,8516.1,18,2025-10-03,107644
51012,Покровский,"г. Ижевск, ул Серова",КС ВАГНЕР СЗ,КОМОССТРОЙ,166,8483.1,18,2025-10-03,101205
57847,Жилой комплекс «ZNAK город будущего»,"с. Первомайский, ул Строителя Николая Шишкина",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,165,9976.01,9,2025-10-15,116451
55206,Березовая роща,"г. Ижевск, Улица 8 Марта",СЗ ДОМ,АССО-Строй,180,8416.8,18,2025-10-21,140186
48094,Чехов Квартал Премьерный дом,"г. Ижевск, Улица Чехова",СЗ РУССКИЙ ДОМ+,Литум,141,8116.67,18,2025-10-27,147439
51491,"""Калинка Парк. Жилой Дом 3""","г. Ижевск, Улица Васнецова",СЗ КАЛИНКА СМАРТ 3,Калинка Групп,361,14524.36,18,2025-10-28,154565
50053,"""Новый восход на Воткинском шоссе""","г. Ижевск, ш Воткинское",УК ИНКОМ,Острова,198,10930.8,11,2025-10-29,104963
52410,"Жилой комплекс ""Семейный парк 2""","г. Ижевск, Улица 1-я Подлесная",СЗ МЕТАЛЛУРГ-18,УК СТИМ,153,8313.65,19,2025-10-30,129393
49857,"ЖК ""Седьмое Небо"" (Дом Четвертый)",г. Ижевск,СЗ ВЫСОТА,Литум,240,12102.65,27,2025-11-07,127914
58283,Эко-квартал Forest дом 6,"г. Ижевск, Улица Васнецова",СЗ ВОСТОЧНЫЙ ЛЕС,АСПЭК-Домстрой,149,6731.4,16,2025-12-18,126462
46301,"Микрорайон ""Богатыри"" Жилой дом №12",Деревня Хохряки,СПЕЦЗАСТРОЙЩИК РАЗВИТИЕ,,156,6654.1,9,2025-12-18,116695
49314,ЖК Притяжение,"г. Ижевск, Улица Выборная",СЗ СТРОЙ-ИНВЕСТ,Аэроплан,187,8268.1,18,2025-12-22,124009
61330,Жилой комплекс «ZNAK город будущего»,Село Первомайский,СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,143,8098.72,9,2025-12-24,116293
60117,Жилой комплекс «ZNAK город будущего»,Село Первомайский,СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО ИЖЕВСК,Железно,130,7270.58,8,2025-12-24,118422
59056,Таун-парк Спасский 1884,Деревня Хохряки,СЗ РЕГИОН-2,Федерация,5,625.29,2,2025-12-26,78324
59055,Таун-парк Спасский 1884,Деревня Хохряки,СЗ РЕГИОН-2,Федерация,6,720.08,2,2025-12-26,85919
58856,Таун-парк Спасский 1884,Деревня Хохряки,СЗ РЕГИОН-2,Федерация,5,711.93,3,2025-12-26,
49544,НЕО,г. Ижевск,КС КЕПЛЕР СЗ,КОМОССТРОЙ,464,20233.3,18,2025-12-29,142664
49508,Истории.Жилые дома 4 5 6 жилой дом 6,"г. Ижевск, ул",КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,169,7997.6,18,2025-12-29,145545
49507,Истории.ЖД 4 5 6 жилой дом 5 секция 2,"г. Ижевск, ул",КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,97,5096.9,15,2025-12-29,132682
49506,Истории.ЖД 4 5 6 жилой дом 5 секция 1,"г. Ижевск, ул",КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,65,3422.4,11,2025-12-29,117592
49505,Истории.Жилые дома 4 5 6 жилой дом 4,"г. Ижевск, ул",КОМОССТРОЙ РОДЕН СЗ,КОМОССТРОЙ,160,7569.6,18,2025-12-29,131697
57895,"ЖК ""Соседи"" 2-ой дом, 1 этап строит.","г. Ижевск, ул Леваневского","СЗ ДРГ-ДОМ.СТРОЙ, ООО СЗ ДРГ-ДОМ.СТРОЙ",,173,7196.5,17,2026-02-10,123031
60914,"ЖК ""Друзья"".Этап №4-секции №4 и №5","г. Ижевск, Шоссе Воткинское",СЗ РЕНТЕК К-5,РЕНТЕК,98,4008.2,18,2026-02-26,147838
50289,"ЖК Кислород ""Экоквартал Кислород""",г. Ижевск,СЗ РЕНТЕК ЗАЛЕСНЫЙ,РЕНТЕК,284,11816.4,23,2026-02-26,141947
52885,ЖК Пять континентов,"г. Ижевск, Улица Карла Маркса",СЗ КОНТИНЕНТ,UDS,124,7264.85,13,2026-02-27,181919
50054,"""Новый восход на Воткинском шоссе""","г. Ижевск, Улица Воткинское шоссе",УК ИНКОМ,Острова,153,8187.1,25,2026-02-27,123419
58323,Настроение,"г. Ижевск, Улица",СЗ 40 ЛЕТ ПОБЕДЫ-7,АССО-Строй,208,8636.6,18,2026-03-04,134550
50627,Леонов. Первый дом квартала героев,г. Ижевск,СЗ АРСЕНАЛ,Символ Девелопмент,397,19011.7,18,2026-03-04,129735
52849,"Жилой комплекс ""BershaCity"" Дом 2","г. Ижевск, Улица Архитектора П.П.Берша",СЗ АСПЭК-ЧАЙКОВСКИЙ,АСПЭК-Домстрой,240,10227.9,17,2026-03-05,128194
48861,ЛАЙТХАУС,"г. Ижевск, Улица 50 лет Пионерии",СЗ ПИОНЕР,Ресурс,214,11341.3,17,2026-03-17,185843
49755,Санвилл.Жилой дом 6,Село Первомайский,КОМОССТРОЙ БОРН СЗ,КОМОССТРОЙ,45,2453,6,2026-03-26,139701
49754,Санвилл.Жилой дом 5,Село Первомайский,КОМОССТРОЙ БОРН СЗ,КОМОССТРОЙ,258,11252.3,6,2026-03-26,142547
46300,"Микрорайон ""Богатыри"" Жилой дом 11",Деревня Хохряки,СПЕЦЗАСТРОЙЩИК РАЗВИТИЕ,,135,5576.9,9,2026-03-27,129384
64887,"ЖК ""Орловский""","г. Глазов, Улица Пехтина",ФИНИСТ ГРУПП,СТРОЙ-ЦЕНТР,69,3369.2,9,2026-03-30,101243
56876,Леонов. Второй дом квартала героев,г. Ижевск,СЗ АРСЕНАЛ,Символ Девелопмент,101,5153.5,18,2026-03-30,161745
58813,ЖК Арден на Селтинской,"г. Ижевск, ул Луначарского",СЗ ЭЛЛИПССТРОЙ,,203,8806.57,18,2026-04-01,126333
58886,ЖК Новый горизонт ,"г. Сарапул, ул Труда",СЗ СТРОИМ ВМЕСТЕ САРАПУЛ,,119,7405.98,8,2026-05-19,105612
55756,ЖК Краски Леса,г. Ижевск,СЗ ОЗОН,,246,8996.63,18,2026-06-05,134396
51605,"ЖК ""Успенский"" (вторая очередь)","г. Ижевск, ул",СЗ ИЖРЕГИОНСТРОЙ,,370,16153.99,18,2026-06-25,118229
56912,Покровский. Жилой дом 4,"г. Ижевск, Улица 10 лет Октября",КС ВАГНЕР СЗ,КОМОССТРОЙ,181,8467.8,18,2026-06-30,140628
54423,Кварталы АРТНОВА дом К5.3,"г. Ижевск, Улица Союзная",СЗ АСПЭК-А,АСПЭК-Домстрой,117,6863,11,2026-07-06,156346
54422,Кварталы АРТНОВА дом К5.2,"г. Ижевск, Улица Союзная",СЗ АСПЭК-А,АСПЭК-Домстрой,160,7299.2,18,2026-07-06,149095
52978,"""Экопарк ""Лесная гавань""","Село Октябрьский, Улица Пермская",СПЕЦСТРОЙ ПЗСП-ИЖЕВСК,ПЗСП,292,11110.21,11,2026-07-20,108163
